sentence_hash	sentence
5668c39cf06d1ab452dd81ceca3f5b6f	During the call, Amy Hagstrom Miller of Whole Women's Health said the new restrictions have led 21 licensed abortion facilities to close, leaving 20 in operation and forcing more women to drive hundreds of miles or attempt self-abortion.
2a55e5f386a720d140bffc5f937efcf0	If one allows that perception, it is very rational to then consider that abortion is killing.
c44abf772c39f52f29ef1c2e8a03a80a	Myth: Having an abortion will help our relationship by removing the stress of a pregnancy.
e1de515edbb3e2b91d14f52b2926ab2d	Abortion preserves a womans constitutional right, relieves the undesired child of future distress, and establishes a peaceful society.
b1ea99a6398dfa4f0495155f8ce58ff5	A central portion of her memoir deals with the abortion rights movement's attempt to defend abortion in the face of pro-life arguments that the fetus has a right to life.
5de7a4a177f7eb858163f90c7961146d	can cause serious internal injuries without necessarily succeeding in inducing miscarriage.
8b4874f5ec1c6e2cabe4912b0c8baabe	"If a girl is ""mature"" enough to make the decision to have unprotected sex in the first place, she is ""mature"" enough to suffer the consequences."
7ce15e780fa8c22fb23374f1c0cfb337	In order to make laws to protect their lives, it is necessary to determine when their lives begin.
c439ba7b59d45054964b8d9a6256978c	Lee also found that the women attempting self-abortion were likely to have had a death wish at the time of the abortion.
45442337357039ea3f669ab86ff369e5	Every reasonable effort should be made to save the lives of both mother and prenatal.
59a04eba8400a365a60213e1684de50c	If abortion is deemed unethical, the fetuses with congenital disabilities are forced to live painful lives, thus challenging their own and their families' well-being, pro-abortion agencies claim.
7759eb8482e85290a6d901f6579e29b6	Scientific studies prove this by stating that serious risks are involved, as well as pyschological problems that arise as the result of having an abortion, not to mention the long-term effects.
f89508feb81eae11f0159c1b6c2dfde3	"""What the Supreme Court legalized in some clinics in Chicago is the highly profitable and very dangerous back-room abortion."""
a58d767d9b984ab958e95e3ddcf611df	States have enacted more abortion restrictions in the past three years than in the entire previous decade combined, and there has been a drop in the number of abortion providers, but those changes had absolutely no effect on abortion rates?
55ecbd901b0caa621a474cefcbff0e71	Grief lessens as time passes and parents rest secure in the knowledge that they shared in their baby's life, treating the child with the same dignity as a terminally ill adult.
e2dc37ef918d022f89525f180c6098a5	There are short-term and longer-term physical risks and also short and longer-term psychological risks such as grief, guilt, depression, anger, numbness and other painful reactions.
50a9550230f21246e60ecbc9369690bc	Those who make such an argument conveniently ignore the fact that abortion itself kills a living human being, not by accident but by design.
a9ffbc27688f4d7013bace1b9b91f0ea	According to a variety of different medical reports and government agencies, first trimester aspiration abortions produce fewer and less serious complications than maintaining a pregnancy and giving birth (Dudley & Kruse, 2006).
8eb0c73b65c0c1c84b060bd3111132ca	"In effect, the doctors and abortion advocates are playing God and ""saying that human beings born with physical and mental disabilities are not fit to live."""
e6441205ab420625e10768fa683abe1f	Fear that Future Children Will Die - Some post-abortive people live in fear that children they had before or after the abortion could easily die.
81bfccb877b26099661fe6adf030636f	That could mean abandoning friendships and family, particularly if these individuals were part of their abortion experience.
7c641f8207fa808f7671a1a6af93a448	The Center for Disease Control and Prevention (CDC) reports that the current death rate due to abortion in the US is very low (0.6 x 100,000 abortions).
bdaf0a28ba7162523e5801e1797697bc	≈22 innocent & helpless children are killed by abortion every day in Alabama Alabama Abortion Facts State abortion statistics from the leading public and private sources.
59a6025ab7d11506fbacdab474132f90	In extremely rare cases, very serious complications may be fatal.
0c55702d74389fb0002036f138afe26a	O'Bannon said those numbers alarmed him because of the large number of women who have ended up hospitalized with hemorrhages, ruptured ectopic pregnancies, or serious infections, which have proven deadly on occasion.
4a972864654366edefaad555a78d61d6	While pro-abortion organizations maintained that women suffered and died because abortion had been illegal, cases of physical complications and even deaths from legal abortion began to emerge.
bc3e5754056a3ec7d5d40590629137bd	In 2011, the U.S. Food and Drug Administration reported over 2,200 complications after women used abortion-inducing drugs (RU-486).
509b910496e993edc4b2e273a4f615c1	Illegal Abortion Mortality Claims that tens of thousands of women lost their lives annually from criminal abortion persist to this day.
fec195c971145653dcde883050f6d91d	Post-Abortive People Experience Choosing abortion can be a traumatic experience for everyone involved.
15952d17a4488d5dd99749957aaa32f8	"Also interesting is that Guttmacher acknowledges that ""early medication abortion makes up an increasing proportion of all abortions,"" but also admits that the availability of medication abortion has not led to more women having abortions."
509643938d9cc84bc186dff0641b23d8	"The Roe vs. Wade case ruled that states have the right to regulate abortion as long as the laws do not inflict an ""undue burden"" on the female residents of that state."
102890d9531454fa9476a79c62e1951c	Greater sensitivity to and awareness of this experience could help to reduce stigma among both patients and health care professionals.
a077832def3c2c14b589b19f43ab3884	"Meanwhile, other reports have shown that the advancement of medical technology, including the invention of penicillin, led to a decrease in the number of illegal abortion deaths -- not legalizing abortion."""
ffe9eaac3714d27af1f6ce73a8cf734a	Abortion pain can exist with those men who may have never lost a child to abortion but are married to a post-abortive woman.
93e892ee09906b4f87740da753305050	The choice to have an abortion is not only immoral and murder, but it can lead to negative effects on the mothers psychological, physical, and spiritual well being.
f7316a0271564b221e2103ab9c5b7f31	It removes reproductive freedom and defies both common sense and humane public policy.
2689fc2625f42c2e12f6f64807abd540	Most women can have a medication abortion safely.
bfb1ba12399257160f50774238ccb11f	Powerful evidence that it is really advances in standard medical care that saves mothers' lives and not the legalization of abortion comes straight from the World Health Organization.
09b5dd90d6030d1556c7dc83541f2a3d	"They might respond, ""You say that abortion should be illegal because it is murder, yet you don't want to punish women who get abortions as murderers?!"
7a10d2a8c07269dca5e887d88053ec98	Although a concerted effort to convince the public the 'postabortion trauma there is a widespread and serious, there is no scientific evidence of such trauma, even though abortion is highly stressful context of unwanted pregnancy.
f8272c7ddfb3a4d502da0daa72125f10	Using medications to induce abortion can lower costs and transfer control from the clinician to the woman.
f270db31571c63af4b56146845f87b79	"This new ruling greatly reduced the number of pregnancy-related injury and death in America (""N.A.F."")."
eff47e6f590ce62a5c6028d8415a5521	One study found that at least 19 percent of women who abort suffer from diagnosable post-traumatic stress disorder (Barnhard, C., The Long-Term Psychological Effects of Abortion, 1990).
2c88b86c6b5fe14bb5aa8719091b4aa0	For the local freestanding abortion facility in your community, with far inferior quality of care, the number of such infections will be at least double that of such a medical center.
67e393f9c65b413f7f5f6cd9262ba071	Abortion advocates have gone to great lengths to discredit the evidence linking abortion and breast cancer.
af1cefc8ad9150aec14e0ab072fab23e	Without this alternative, a woman may be forced into giving birth to a child and forcefully condemned into taking up responsibilities in the family and society that she may be unwilling to shoulder.
04236189b9a8f09cbf18161b19462d7b	The risk of death from medication abortion is much less than from a full-term pregnancy or childbirth.
b2d5fe688e5d01e25b995be698e834af	Most Canadians agree that women faced with an unplanned, unwanted pregnancy should be able to choose an abortion.
23e47d745dd96647f1e856ddedd40778	If the mother does not want the child and the father does, he has the right to realize the birth of that child and raise it even if she does not.
1b9d474425b07bbfdec915ea0313aa80	As a result of these safety concerns, a number of US doctors have been quoted as expressing serious concerns about the safety of medical abortions and some have actually stopped providing medical abortions altogether.
11003f8e0cbb954fc1d998c966edc0f3	Whatever the reasons a woman decides to have an abortion, it seems only justified that she should be able to make decisions in regards to her life and body.
b556e41f6465f6927c95dce60f5c4547	In countries where abortion has been legal for years, there is no evidence that respect for life has diminished or that legal abortion leads to killing of any persons.
859f0ffe6dcb1e7749e1ce5a8aa86acf	It is my belief that Prenatal testing should include giving the patient the choice to keep or terminate her pregnancy after being given detrimental news about her pregnancy.
9724d054949efa4f30f65a66a7008e8a	The following article describes some of the ways in which abortion has a greater and more substantial harmful impact on adolescents compared with older women.
525ddff122b06074cc5a4e735f831539	Women who want abortions will get them, even if they have to risk their lives to get them.
4a4a230a183558528c55797bff51042b	How would you feel if someone took away your ability to live?
4f7d2aa3423dae9b8edd046faecc1d1e	Many pro-aborts privately think that abortion is often a good thing, but they rarely admit that is their real position.
56b4d6d5a93885659393307e219bc050	They want no more children They cannot afford to raise a child They are unmarried or still in school Their partners does not want the pregnancy or there is a problem with relationship
b9c7a50bf7fe7fd7192af7591786ede7	"More abortions, not safer abortions As these basic facts illustrate, the claim that legalized abortion will save women from ""unsafe abortions"" is without merit."
6afe05ab54f39d63dc3e3c4e99953213	Abortion No women can call herself free who does not have control over her own body.
4375674e2dce8d3f2b753173d881fd5f	In May 2013, a Sunday Independent/Millward Brown opinion poll found that 53% of people surveyed supported legislation that would allow for abortion in cases where a risk to life occurs becuase of a threat of suicide.
48834598762aef24d748f187b3e50a0c	and the right to reproductive health are major issues of human rights that are sometimes used as justification for the existence or absence of laws controlling abortion.
905cf2a39354b3e286bc2f130d817695	If there is one function absolutely central to the duty of a nation-state, it is to protect the most precious possession of its citizens -- their very lives.
b2316a3c65968f1f83f738994e0d226b	While somewhat more cumbersome and time-consuming in terms of office routines, medical abortion is not so disruptive as to be unacceptable.
53449669e7ecc6770098ef5564a89633	Hence, the availability of medical abortion may both allow and motivate women to obtain abortions at earlier gestations.
d3cb35cd1e8e29e67412ea599c0ea676	If the 215 million women with unmet need used modern family planning methods....[that] would result in about 22 million fewer unplanned births; 25 million fewer abortions; and seven million fewer miscarriages....
ea881bf5cc7e96a2e2c9ff4a13bd19f9	Women in Texas Are Turning to Black-Market Abortion Drugs - JezebelHarsh restrictions are making it harder and harder to obtain an abortion in Texas.
f512a7a7ebfe9b3ca0b324ad7e608309	If none of these conditions is met, a woman who wants to terminate her unwanted pregnancy must resort to a clandestine and possibly unsafe abortion.
4464eb98330792477ce0cb83eade7be8	Provides exceptions for pregnancies resulting from rape or incest; or life-endangering maternal condition.
70fbeb1bca93fa8047fe0e82a9b4a52d	This method can cause infection or injury to internal organs (for example perforating the uterus or intestines), resulting in death.
71aee30d8fd2b5f3d78c1da6a625a0dd	Guttmacher Institute, 2012 Of the estimated 40 million abortions that take place annually in developing country, many are unsafe and can result in serious maternal complications or death.
72579cab46268b5500e1c3d3f0296861	Of all the emotions they experience during the abortion crisis, none brings more pain and distress than the one they now know and identify five to ten times more than any other feelings.
aa93f4798499c192339fc82856a1f0e1	"The U.S. Supreme Court held in Webster v. Reproductive Health Services that a statute may create ""a presumption of viability"" after a certain number of weeks, in which case the physician must be given an opportunity to rebut the presumption by performing tests."
f2635b8ec935df0b1e801d302c20c48d	"As the Bible says ""Do unto others what you would have them do unto you; do not do or say unto others what you would not want done or said unto you."""
ee31cfc1a140460b798a6494b0f0b69d	It has become increasingly difficult to obtain the cooperation of some abortion providers due to fear of antiabortion harassment, even though we assure respondents that we do everything possible to preserve their confidentiality.
c07c6c7854fcd41353d526e0476a2854	Volume Thirteen, 2005America's Coerced Abortion Epidemic; Women Three Times More Likely to Die After Abortion; History of Abuse
8cc5b7ef1316a8d383d17d763633e1d1	Measures that are preventative as opposed to punitive contribute to reducing the rate of unintended pregnancies and, concomitantly, the abortion rate.
4eaf2d3ae7014db46558c5ce385c4dbd	This is despite the fact that there is no evidence that abortion helps a woman's mental health, which it can indeed harm (see the question on the effects of abortion below).
b904e94ad3e5235a45d26ac18a58e4a1	There are no long term health effects of abortion; anti-choice claims that it's correlated to breast cancer have been repeatedly shown to be false.
b4ef8d1205a367ff573471bac0eaee8f	Early medical abortion has the potential to expand the availability of abortion services in areas without surgical abortion providers and reduce the need for interstate travel, but as of 1997 this potential had not been realized.
4e2d9cb30aa6d941d636f49c7fdfc651	Intracardiac injection is also used in late term abortions when there is likelihood of delivering a live baby, in order to avoid state laws that would require the baby to be resuscitated and given medical care.
1e498ea48aa5977a546051c4dd866386	When women are denied the rights to control their fertility, it will lead to an unsafe abortion.
96d5ee53621c652f88236af5b1be275c	However, there were still some serious misperceptions such as: abortion could cause cancer and abortion would lead to birth of an abnormal child in future as reported in this study.
0ea45bb22e550011e3bae2d6d96d5d84	Yet, even if the case can be made that deaths resulting from illegal abortions were underreported, it is equally safe to say that deaths resulting from legal abortions are underreported.
be7df8216a38e2ed9dd04de99d5edcff	Once habitual it becomes easier is something all serial killers claim.
93627fe58120f6692bfd28a7133486e8	A loving man who tried to prevent the abortion endures additional trauma in being emasculated by the inability to protect his unborn child in the womb.
2d301538463173e1aa891ba5efb7fee9	"Because many of these adolescent patients, in whom complications develop, do not return to the physician who did the abortion, accurate data on complications are difficult to obtain."""
41f08590444a418ecf231f0a95c21a00	3% of abortion patients within the Usa experience a complication that needs hospitalization.
e766cc18d5fdecaab2403d89a94057fb	They are also risky, and can sometimes have an effect on you later on in life.
1820731dcbcc5cf8c795fe3f17dcc82f	In conclusion, there were not several thousand women losing their lives due to illegal abortions performed by quack doctors.
42fb0048bbea52d56b1ddc412a937cbe	What about expansive social welfare that makes it easier for pregnant women living in poverty to say yes to having this baby?
de508f80e2edfff064a1b73498bb47a9	This limited access has resulted in unsafe abortion becoming one of the leading causes of maternal mortality in India, with 8% of all maternal deaths attributed to complications from unsafe procedures.
51b3d562bbf2db6fd2da0c14483b22b6	Unsafe abortion is common in places where abortion is illegal.
5af5ada53aa6290d16ceb06ae36feb98	However, the babies seemingly have no right to protection or life themselves because of the argument regarding when a fetus is determined be human and have life.
563b2a6aedf81054c8dc2151354f6d77	Some justify abortion on the claim that if it is outlawed, women will abort anyway and may die in the process.
f713b32b6b212815fd62d4aa64bec4b4	choice advocates argue that part of the reason abortions should be made legal is to allow for pregnant women to terminate their pregnancies in safe conditions.
ae23b25bdbafe15ba43ba1de161c7288	Many women in Brazil illegally use the drug Cytotec to induce miscarriage, and the government estimates that more than 200,000 Brazilian women are hospitalized annually as a result of botched abortions.
db1af476b9fbea6aca056f13d902f2a1	The fact is, increasingly abortion is unlikely to be a spur of the minute decision.
9798f7060794a66f4a306d1034f258d8	Human life is a continuum---sperm and eggs are also alive, and represent potential human beings, but virtually all sperm and eggs are wasted.
14f9f4b70303842564fa2afb9d9be504	By forcing states to create and run health exchanges and by forcing them to expand their Medicaid rolls which can, and in some case must, include abortion funding, more tax-payer dollars will go to fund abortions.
417bbcfa04795570e62037e8b5944297	Giving the baby away for adoption is a way to give the baby the chance to live, and to bring joy to infertile couples and other families that want to adopt.
2b39f2678ef459fe58dd6cc57871229d	"In fact, the American College of Obstetricians and Gynecologists has stated: ""Long term risks sometimes attributed to surgical abortion include potential effects on reproductive function, cancer incidence, and psychological sequelae."
9f28ca292fbe311432adde47e3bf5f9d	The bill would endanger the lives of women by allowing non-physicians to perform abortions.
07bac249a0e19bd9499b84bf1e8220e7	14 Works Cited Abortion Should NOT Be Legal - Abortion not only ends the life of the child before it has a chance but has health-related issues such as sterility and premature births.
50b36ec61b08c845084660b48a22b137	Less than half a percent of these were performed because of risk to the woman's physical health.
02a3e7a6b538aa8d3d4be083f92c6d93	"The article is claiming that when a ""wide range of conceptive methods are available, use of abortion is likely to fall"" and that even with abortion being legalised, overall rate may decrease."
315fe885d05e4ad3f189f2aa0d5cdbf4	Those who have opposed abortion have launched fearful campaigns that assert that women who have had abortions are more prone to cancer.
003c0093b3f276d170a01cd35fd04856	With the proposed increase in availability for medical abortions, it is very likely that there will be an increase in the black market for the drugs used, with all the adverse consequences.
dcab9aa95550e4d55df3b3a4d46fa449	≈16 innocent & helpless children are killed by abortion every day in Wisconsin Wisconsin Abortion Facts State abortion statistics from the leading public and private sources.
4e8b44476372d9cfbf0be3583ed3cb12	Legalized abortion has had a positive impact on the health of American women by providing them with a safer way to terminate their pregnancies.
5d8f192356daaf40736f921120d489ec	Chemical abortion with salt can also give rise to severe and uncontrollable blood clotting throughout the body.
27b6efd1e52f81538331186994ed26aa	The tests permit parents who know they are at risk of bearing a defective baby to conceive, assured that if the test results are positive, they can abort and try again for a healthy baby.
6e9ce767bfea00be1956707290617b3c	"They said that studies with plans to the most rigorous scientific research never found evidence of ""post-abortion syndrome"" and furthermore that the syndrome is scientifically or medically recognized."
78fc9dbc0d5c4821793075b60eba17d9	"So, to your claim that ""abortion is just a result of an already negative situation,"" I would a add, ""that makes things even worse."""
369956879849ca0b983a6991637d24df	It's unsettling that our society has normalized one of the greatest human tragedies the world has ever seen.
f630ba98490851e53b749cc1d6a4e568	The Abortion Pill (RU-486 or Medication abortion ) is a safe way to end a pregnancy in the earliest stages without procedure.
1be0e02c9330106d1173828b91ef04e7	However, efforts to improve contraceptive use and reduce the number of unintended pregnancies in the United States have been challenging.
4104f20bf0ba8f86b926b9358f2c0e2b	Also, this argument, by admitting that abortions would continue under anti-abortion laws, exposes the real goal behind recriminalizing abortion---to punish women.
0579ad7f9d9c38b2e707caa93986bb0a	Prevention and control Unsafe abortion can be prevented through: good sexual education; prevention of unintended pregnancy through use of effective contraception, including emergency contraception; and provision of safe, legal abortion.
28a5c9f7779fb5624c3c311dcb207a04	Well over 90% are having abortions because they did not demonstrate enough personal responsibility to prevent a pregnancy, something that is not terribly difficult to do.
1cc37b21fc7145ee041665045bfdc66c	If the child in the womb can escape from his first place-of-residence (the womb) the day before his scheduled execution, his life is protected by full force of law.
c9a2ad934ce005a0eafe831bf8e04831	The current anti-choice climate makes providing safe abortions extremely difficult.
497fddd0afa68938333acd5cf6eab05c	But until we can get there, our strategy of closing abortion clinics by using the tools the system has provided is an effective way to save lives right now.
584bd2d1b5fe47d4a6001ee7b2a9d671	Women with unintended pregnancies, and who would otherwise have an abortion, engage in behaviors detrimental to their fetuses causing an increase in fetal losses.
81581a5882c5cb1c3f5b875cef93ddb4	The effect of individuals is cause by illegal way of aborting the child and left a bad effect on them because of the wrong path, they use to abort the baby just like herbs and alcoholic substances.
fae669185da5afb49e46b4e105364073	However, when the comprehensive Five Essential Elements of PAC approach for postabortion care is employed, the costs resulting from complications due to unsafe abortion will be reduced.
22411ee6a1c4903d742f6d8e5e361753	No longer will every human have a right to live simply because he or she exists.
fd59bff0d8ed124bf60f625583bbf68b	Additionally, the push of abortion drugs in the third world has the capacity to severely increase abortion mortality and the morbidity rate of women from current levels.
9bcd52fab6e8b847605f7c01cd811d70	While the percentage of women dying from abortion is lower, the actual number of women dying has increased.
298d40bae341abd64ebd7cbba8c8034a	From the fall of abortion a positive fact results - the number of pregnancies which end by birth is continuously increasing, despite the decreasing number of the births.
3f50cbbb87111b390532c3077747e345	Moreover, legal abortion services, in contrast to illegal abortionists, provide counseling about abortion and contraceptive methods to prevent repeated unwanted pregnancies.
c3b84b93420a9343998c86a7c9f62468	Neither was I told of the pain involved in labor, nor even that my body would go into labor to reject the struggling, dying baby that was being burned alive in my uterus.
2246fb4a2a76ae4b0b8ebefb6c076861	Another thing is that it is ALIVE, meaning it is growing, developing, maturing, and replacing its own dying cells.
507cbc2133f867ee58dbd5a40c2e93f0	Scientists agree that once the sperm has fertilised the egg, a new being with a fully human genetic make-up has been created.
b8c24f4ab73f88db4130d930ece53e34	And Fortress International, a support and advocacy organization for women who have become pregnant through rape, takes a pro-life stand because they found that abortion just further harms the already traumatized rape victims.
d4f7aac5d7c179a0259ca59d0cad4eef	Keeping all situations and instances in mind, abortion was and still stays an act of violence against the unborn child as well as the woman about to have a baby, apart from being a moral crime in itself.
d49928c39ae2a2c1da5afba55b2cbba2	Just as diseased body parts are surgically removed, the fetus may be aborted at will.
2c5892bf4fd5c0a8a7120192ec6a7786	Abortion destroys the lives of helpless, innocent children and is illegal in many countries.
ce08e137fec04731e5406238dd63fb0a	A subsequent article will describe some of the adverse physical, psychological, social and reproductive effects of induced abortion on Chinese women and children.
e94f86452f4195e7350c20676fe33f38	Abortions are unsafe when performed by persons without the proper skills or outside of a medically safe environment.
b71a306b267d0060b30771499eb7143a	Although the advocates of abortion claim it can save a mother's life and prevent prolonged suffering, opponents contend abortion damages the women's body, physically and psychologically, and that abortion contradicts many religious ethics.
c683f2193e0aa57e4f1ca76f85417335	Findings demonstrate enormous unmet need for safe abortion services. Mid-level providers should be trained in safe abortion care and PAC to make these services accessible to a wider community in Sudan.
b22a24fb7f0d686a63283df92c06f0ce	Furthermore, since women who have more than one abortion are at a significantly increased risk of suffering physical and psychological sequelae, these heightened risks should be thoroughly discussed with women seeking abortions.
08d93944d5cdee96ee8d52877db21bed	Pro-lifers need to learn to tell the difference between a developing potential human and a living person.
24777964c79d2463e5a1c44317851e98	It will permit late-term abortions, allow non-doctors to perform abortions, and will preclude any reasonable restrictions on abortion such as...
69e0cbe5d33d624f24c8c6d693abf39f	Severe hemorrhaging may occur as a result of chemical abortion with salt poisoning.
a7c7a3dae290808d63ba979510693e74	In legal limitation for abortion, low information about abortion laws and consequences of unsafe abortion can result in that women refer to illegal providers.
1b4b0e548d69d82e6b8ee6a764480a86	I have always been under the impression that having an abortion makes is nearly impossible to get pregnant in the future, and if one is lucky enough to conceive, the chances of having a stillborn or...
54071dd818c7f28d258cfbd1f32656c2	"Anti-abortion protesters and CPC employees often say that abortion hurts women, that it harms them, that it is unsafe and even ""deadly."""
38288327f402dd99ae41242d3368cc58	About half of American women have experienced an unintended pregnancy, and at current rates more than one-third will have had an abortion by age 45.
4a1408713f7245a7a82ed23b0c82f780	Hence, our continuing responsibility as physicians and as a society is to ensure that these procedures are as safe, comfortable, and compassionate as possible.
1c6f17c6a595c77183efd3f296b39381	They are carried out by unqualified persons, usually in unhygienic conditions, and more often than not end in infection or hemorrhage and death of the woman.
8485a3c6d8031f56c169035cafcaee8c	Abortion is severely restricted in Iran, and many women with an unwanted pregnancy resort to clandes-tine, unsafe abortions.
dbc062bfa4b408795f9a00148d851e9e	If the woman has repeatedly been a victim of domineering abuse, such an unwanted abortion may be perceived as the ultimate violation in a life characterized by abuse.
6fab9f80c207162f23b90e1fab135741	The $800 cost per abortion is in fact a very conservative estimate and the $75 million a year figure is probably an underestimate of how much taxpayers spend on medically unnecessary abortions.
c8d6ef007816784213b362debd7312a1	This could be dangerous, and many women died or were injured by botched abortions.
8aa71d7cf4eb9f47fa4f2541693dffab	In countries where abortion remains unsafe, it is a leading cause of maternal mortality.
44a993d2669d64ad4bb060bd153d8330	"Every woman who ever gives birth, whatever her circumstances, is living proof that there is no ""need"" for abortion."
b6c581326f47a380cea65152afcb3c8d	With this in mind, why would any woman prefer to wait nine months to give birth to a baby, that would not only be something she doesn't want, but it would also be more dangerous, when she can just abort?
fbf38a94d74716c9dc832d954f9389f5	With the adoption of unwanted childbearing may be chronic stress for women who continue to worry about fate of the child.
13be92d33c4c080b3d4151ea048e7f62	Nonetheless, that abortion is increasingly concentrated among poor women means that this population is most affected when legal restrictions around abortion are implemented.
dae8d48f8dd81f39483a8b89c651a530	The existence of a longer 'window' between women becoming sexually active and starting their families may mean that women are more exposed to unintended pregnancy.
7d40380c9c2833bb1fc6556043e3efbe	They also found that many of the steps favored by pro-life groups and Republicans have not been effective at reducing the number of abortions.
657d879bb9020646cd36cda4add16eeb	They believe it is easy, safe, and cheap.
c0528e53aa674a923f0488d0a5030f20	If we say that getting abortions help the economy, I can't help but wonder if we might end up doing the same thing; aborting a child to control the population.
5d37277e0861b7b407a1323807f2aa37	None of that is good considering both the unborn children killed and the women who risk their health by this particular abortion method.
f2cff32836a5e66a026720e1ee633a38	"What we deter by ""banning abortion"" is safe doctor-performed abortions."
72c0d92d871d45615976d711eb02461f	Ironically, restrictive laws pushed by Right to Lifers, such as mandatory parental involvement and cutoff of Medicaid for poor women's abortions, cause delay and lead to increased numbers of late abortions.
