segment_hash	segment
3e11f1ca572b49c96130daa240166aa5	"If a girl is ""mature"" enough to make the decision to have unprotected sex in the first place, she is ""mature"" enough to suffer the consequences"
253d5208ba82341672850ca82aa627d7	In order to make laws to protect their lives, it is necessary to determine when their lives begin
4ac85e4e27d69b66ba64fe5cbec4c02b	women attempting self-abortion were likely to have had a death wish at the time of the abortion
cd53bda7bbef4e6e59e6202f65fa7dd3	Every reasonable effort should be made to save the lives of both mother and prenatal
0d3c19e8b63d184a833ce18250a181c4	If abortion is deemed unethical, the fetuses with congenital disabilities are forced to live painful lives, thus challenging their own and their families' well-being
2b12ce724f10e0c009c7b15d1d425cbe	serious risks are involved, as well as pyschological problems that arise as the result of having an abortion, not to mention the long-term effects
d10fee1e6889073d16f64aadad177735	What the Supreme Court legalized in some clinics in Chicago is the highly profitable and very dangerous back-room abortion
a65e171b00ebb6a4523253548cc69949	there has been a drop in the number of abortion providers, but those changes had absolutely no effect on abortion rates
2a37b9a7bfd88a4fd821dddea29ccf60	Grief lessens as time passes and parents rest secure in the knowledge that they shared in their baby's life, treating the child with the same dignity as a terminally ill adult
463e45afe8828a0cf53ca5b51f6ca168	There are short-term and longer-term physical risks and also short and longer-term psychological risks such as grief, guilt, depression, anger, numbness and other painful reactions
acd7168d11f81eff07cd88b69ff7cae4	abortion itself kills a living human being
77aa3415e583f02ccc1434bb282aac87	first trimester aspiration abortions produce fewer and less serious complications than maintaining a pregnancy and giving birth
864424635bd2650dd970ec15d8c1d3eb	"the doctors and abortion advocates are playing God and ""saying that human beings born with physical and mental disabilities are not fit to live"
953609c4e40a0f9f2fb1e6e840c560f3	Some post-abortive people live in fear that children they had before or after the abortion could easily die
b52550b59235ce617e547d5ef093ee78	That could mean abandoning friendships and family, particularly if these individuals were part of their abortion experience
2b58f68d37abf9d08095de85b01a1af2	the current death rate due to abortion in the US is very low
46207e82ee465fae6a164d26c42bc64c	innocent & helpless children are killed by abortion every day
927eab97acacf9c43534590e059f1b91	very serious complications may be fatal
99f16948f226b330896008559fc1ae5b	of the large number of women who have ended up hospitalized with hemorrhages, ruptured ectopic pregnancies, or serious infections, which have proven deadly on occasion
078bd6943a4b2adab08390d74f14887b	organizations maintained that women suffered and died because abortion had been illegal
924d026b5404fc240ea85721558f96b0	cases of physical complications and even deaths from legal abortion began to emerge
8a993e053d8c7273c2b835bb510083a2	Food and Drug Administration reported over 2,200 complications after women used abortion-inducing drugs
320efcace501207c133418f269c6bacb	tens of thousands of women lost their lives annually from criminal abortion
57c0f3310a0a5cb638a729f217d314a5	Choosing abortion can be a traumatic experience for everyone involved
c3396cb141a3ef409ba665de66204f09	the availability of medication abortion has not led to more women having abortions
c90e69cb98eb972fb441cfeae037f730	states have the right to regulate abortion
8f838265226f8a42eb61064435014cb1	Greater sensitivity to and awareness of this experience could help to reduce stigma among both patients and health care professionals
5074e2eb96366861b1b02ced2a5a41f4	the advancement of medical technology, including the invention of penicillin, led to a decrease in the number of illegal abortion deaths -- not legalizing abortion
f4fd7510e99bc4bf6e3b742f6536acb5	Abortion pain can exist with those men who may have never lost a child to abortion but are married to a post-abortive woman
e28ae4dd447489b463b39a251e3957c7	The choice to have an abortion is not only immoral and murder, but it can lead to negative effects on the mothers psychological, physical, and spiritual well being
d55912d620be2d4a83f062874e62fa3b	It removes reproductive freedom and defies both common sense and humane public policy
a6ac4e75b9546c71ae0a5246ad004507	Most women can have a medication abortion safely
29162d5ab3d54cf5bf5d9b2f56858409	advances in standard medical care that saves mothers' lives
a0f9ff93506ce8bf02d0e9d191918dfb	abortion should be illegal because it is murder
891dc13c7c50dcf2235ef9e3463c334b	Although a concerted effort to convince the public the 'postabortion trauma there is a widespread and serious, there is no scientific evidence of such trauma
edce6eae0935020c714c6edd1e239575	abortion is highly stressful context of unwanted pregnancy
9eab831aa6f24408ca2c6a36d2b86325	Using medications to induce abortion can lower costs and transfer control from the clinician to the woman
71de4fd2e32ae2349dccd52d0f8ff39b	greatly reduced the number of pregnancy-related injury and death
85edc03c4d730ecbc5edaf0f0ad7e506	One study found that at least 19 percent of women who abort suffer from diagnosable post-traumatic stress disorder
2fbae6691a8b7445bbf58a0e97ef5e73	For the local freestanding abortion facility in your community, with far inferior quality of care, the number of such infections will be at least double that of such a medical center
012bb33f2605eb8e550eaa0d4b29c6cd	Abortion advocates have gone to great lengths to discredit the evidence linking abortion and breast cancer
77a52147621d3fb160b70786225bb445	Without this alternative, a woman may be forced into giving birth to a child and forcefully condemned into taking up responsibilities in the family and society that she may be unwilling to shoulder
d130d33069ab2b64801a64dfc102be62	The risk of death from medication abortion is much less than from a full-term pregnancy or childbirth
4cc072fd8524107048d2a15378279a0a	women faced with an unplanned, unwanted pregnancy should be able to choose an abortion
ac613b6ed02cfb58ff7a848700385d6e	If the mother does not want the child and the father does, he has the right to realize the birth of that child and raise it even if she does not
2912b5a6123a631d59b33cf91941b2c6	a number of US doctors have been quoted as expressing serious concerns about the safety of medical abortions and some have actually stopped providing medical abortions altogether
9991618db24cab99c746e243b2f32369	Whatever the reasons a woman decides to have an abortion, it seems only justified that she should be able to make decisions in regards to her life and body
cd6f9cecd686afe4f0668328b580d535	In countries where abortion has been legal for years, there is no evidence that respect for life has diminished or that legal abortion leads to killing of any persons
a6a61c9fe9d8e0d61feb08469af49d11	Prenatal testing should include giving the patient the choice to keep or terminate her pregnancy after being given detrimental news about her pregnancy
68f17556657d1d58f8c95851fe4d8012	abortion has a greater and more substantial harmful impact on adolescents compared with older women
27405823badab0f7b3eddf42091756e3	Women who want abortions will get them, even if they have to risk their lives to get them
8789ee4900565d7b2254ae7d61c8f18d	How would you feel if someone took away your ability to live
e39a2188fcbfea9853d70166bd387b70	abortion is often a good thing
6186efd03de8a79e73e2f2f7d7f00cbd	They want no more children They cannot afford to raise a child They are unmarried or still in school Their partners does not want the pregnancy
5f9e6be8bfaac60a6d934ec2a8820b7d	"the claim that legalized abortion will save women from ""unsafe abortions"" is without merit"
1d5506f1e8c906932c539abf9bd2dafc	No women can call herself free who does not have control over her own body
ea7593c186aefbc7264cd808202d97b4	of a threat of suicide
9bddd8267ca5ad7107eca3d0a160ff94	the right to reproductive health are major issues of human rights
a9c4fde2481ff95aa1e43fdf194782a6	If there is one function absolutely central to the duty of a nation-state, it is to protect the most precious possession of its citizens -- their very lives
0c85b1e6aa864ccca66a142906b18c46	medical abortion is not so disruptive as to be unacceptable
627161e5c2423e6fe5230d2b0b0a594e	the availability of medical abortion may both allow and motivate women to obtain abortions at earlier gestations
9756c0a005bd89f39b3dc7f661da8dbb	would result in about 22 million fewer unplanned births
d56eccab989bcac9d1038147fea22698	Women in Texas Are Turning to Black-Market Abortion Drugs
84395feddf52292b35a5adb192c7dc36	restrictions are making it harder and harder to obtain an abortion in Texas
905a1cf41370d0c449dcd7fe089bff12	If none of these conditions is met, a woman who wants to terminate her unwanted pregnancy must resort to a clandestine and possibly unsafe abortion
fcd69dfac014fcd9dfc931919f77f403	Provides exceptions for pregnancies resulting from rape or incest; or life-endangering maternal condition
01e172e755f1fe6fff902e8223ae6c20	This method can cause infection or injury to internal organs (for example perforating the uterus or intestines), resulting in death
b752aa61828386b608ea25393b88f5f0	many are unsafe and can result in serious maternal complications or death
6ba0b768d939e7805952277072ac52e9	Of all the emotions they experience during the abortion crisis, none brings more pain and distress than the one they now know and identify five to ten times more than any other feelings
2527a480e71781476f497862b19624b1	"a statute may create ""a presumption of viability"" after a certain number of weeks, in which case the physician must be given an opportunity to rebut the presumption by performing tests"
a2c77e2135c48f24b0278e25fcd8c5ef	"As the Bible says ""Do unto others what you would have them do unto you; do not do or say unto others what you would not want done or said unto you"
3b5b197a72ae8c9086fd4fa5bcff1c04	It has become increasingly difficult to obtain the cooperation of some abortion providers due to fear of antiabortion harassment
ffc39d9605a4cabc2e0bdf6469e565a6	Women Three Times More Likely to Die After Abortion
6568049dfeb216ce38563e888958f359	Measures that are preventative as opposed to punitive contribute to reducing the rate of unintended pregnancies and, concomitantly, the abortion rate
c47ca96a05c26243bbd108e35b9806fe	there is no evidence that abortion helps a woman's mental health, which it can indeed harm
092c7e0af4d0514ee95a814483729abd	There are no long term health effects of abortion
35515b0e9c358b79e321ba9ed5bc3f0f	it's correlated to breast cancer have been repeatedly shown to be false
390a4c4b7dcdb81f095b5e9593c1a4bf	Early medical abortion has the potential to expand the availability of abortion services in areas without surgical abortion providers and reduce the need for interstate travel
3fc3d010ff4614b2c059eb25a0df5320	Intracardiac injection is also used in late term abortions when there is likelihood of delivering a live baby
5f11916988eeed578c4c64b8d3a4ebdd	When women are denied the rights to control their fertility, it will lead to an unsafe abortion
a912d3b323c6e4a85ba453cec555ca96	abortion could cause cancer
75c6d2daece80e7645a2839180ef12d1	abortion would lead to birth of an abnormal child in future
b692046fb95454f9a19ec9f24b12b665	deaths resulting from illegal abortions were underreported
37cc3bba01a21d81f7d4e859a16ea299	deaths resulting from legal abortions are underreported
29e63c479c9513af3214dbdc8877a30d	Once habitual it becomes easier is something all serial killers claim
68563456b9e01365c1ebbca5cb8bccb0	A loving man who tried to prevent the abortion endures additional trauma in being emasculated by the inability to protect his unborn child in the womb
b9b8237e35a02679f2ef157af0fd4f63	many of these adolescent patients, in whom complications develop, do not return to the physician who did the abortion
84e60026ee8e56b5123003eb3fb0c780	3% of abortion patients within the Usa experience a complication that needs hospitalization
57d69d49a63ccbba542217a87e363ad8	They are also risky, and can sometimes have an effect on you later on in life
a3189c7fd461173a903f46ab18326584	there were not several thousand women losing their lives due to illegal abortions performed by quack doctors
b77f82f155fea844a033fb17aa228d3e	expansive social welfare that makes it easier for pregnant women living in poverty to say yes to having this baby
fe27e8d72a321fc932a5544b6feffc22	limited access has resulted in unsafe abortion becoming one of the leading causes of maternal mortality in India
0212614f4df4f533cab338b29a0c30ab	Unsafe abortion is common in places where abortion is illegal
8e15998ee175430c43c80945934aaded	the babies seemingly have no right to protection or life themselves because of the argument regarding when a fetus is determined be human and have life
485579dbb603ebdafeffac867e8609bf	if it is outlawed, women will abort anyway and may die in the process
a6e437bf85561ceda590563d8a4321e6	part of the reason abortions should be made legal is to allow for pregnant women to terminate their pregnancies in safe conditions
9bbae776ffd0267d195ea8ef25b85912	government estimates that more than 200,000 Brazilian women are hospitalized annually as a result of botched abortions
1afb6137d6d35d00aa45c06773b6aecb	abortion is unlikely to be a spur of the minute decision
14e985fe166fd4c3a88b9dc693b240e3	sperm and eggs are also alive, and represent potential human beings, but virtually all sperm and eggs are wasted
cd187d0df6b8af46ab160eb386923c15	more tax-payer dollars will go to fund abortions
3781dc16f57a2ce6e20b6ec123274b2e	Giving the baby away for adoption is a way to give the baby the chance to live, and to bring joy to infertile couples and other families that want to adopt
4dbc0136199dfd56a3f4221de4ac30ed	Long term risks sometimes attributed to surgical abortion include potential effects on reproductive function, cancer incidence, and psychological sequelae
078dd1a70d209cd1fcb87a117735e154	The bill would endanger the lives of women by allowing non-physicians to perform abortions
9d1fb10a37fbba0bf4f6768c7ed1b64c	Abortion not only ends the life of the child before it has a chance but has health-related issues such as sterility and premature births
62075a5907bcf992245c692a16ee31a3	Less than half a percent of these were performed because of risk to the woman's physical health
f388dc34535660ecc688ee06a0644412	"when a ""wide range of conceptive methods are available, use of abortion is likely to fall"" and that even with abortion being legalised, overall rate may decrease"
bb59ec91baa855cdf71d236f69b99a0f	women who have had abortions are more prone to cancer
333b5149e52312c34050892996d05796	With the proposed increase in availability for medical abortions, it is very likely that there will be an increase in the black market for the drugs used, with all the adverse consequences
58c2a352dc6c3f0c651b825d674722e2	Legalized abortion has had a positive impact on the health of American women by providing them with a safer way to terminate their pregnancies
68bc025809d8feff60348b1a7dec8e28	Chemical abortion with salt can also give rise to severe and uncontrollable blood clotting throughout the body
55df151df0e3ba2f086541dfa849954b	if the test results are positive, they can abort and try again for a healthy baby
c3d0cbae0b51d4c405d3aac4ad891ab8	"studies with plans to the most rigorous scientific research never found evidence of ""post-abortion syndrome"" and furthermore that the syndrome is scientifically or medically recognized"
77ce84cace79d5741bd3596eaddbd5aa	that makes things even worse
5b46de7bceb6306926d6f551de6cf897	our society has normalized one of the greatest human tragedies the world has ever seen
a895dd03ed80b5985bcdf65df1d9b7fa	a safe way to end a pregnancy in the earliest stages without procedure
f164497b02fa59c8303c8fb94624aec5	efforts to improve contraceptive use and reduce the number of unintended pregnancies in the United States have been challenging
80e6c2ae2510556212f69dfeb01f00c0	admitting that abortions would continue under anti-abortion laws, exposes the real goal behind recriminalizing abortion---to punish women
1ddedf3ac5b22d6fddddfba67f4a5352	Unsafe abortion can be prevented through: good sexual education; prevention of unintended pregnancy through use of effective contraception, including emergency contraception; and provision of safe, legal abortion
a069b55026d886ce244e2f0c5ca68f2c	Well over 90% are having abortions because they did not demonstrate enough personal responsibility to prevent a pregnancy, something that is not terribly difficult to do
91b06f9ec6d40684815bad099a23b499	If the child in the womb can escape from his first place-of-residence (the womb) the day before his scheduled execution, his life is protected by full force of law
a191bb0aafb8e6f312b5080404ebac84	The current anti-choice climate makes providing safe abortions extremely difficult
86cf1754de829d135b7ddd103bd27d5a	closing abortion clinics by using the tools the system has provided is an effective way to save lives
6e053d429a2499c2412640abccf6aea7	Women with unintended pregnancies, and who would otherwise have an abortion, engage in behaviors detrimental to their fetuses causing an increase in fetal losses
2b3fe62cd1b42efaf1af06a51e8ad0fb	The effect of individuals is cause by illegal way of aborting the child and left a bad effect on them because of the wrong path, they use to abort the baby just like herbs and alcoholic substances
0e50b314242246beb6458e863f90d7be	the costs resulting from complications due to unsafe abortion will be reduced
991fd497829e0e95f3450bc9d247ee1a	No longer will every human have a right to live simply because he or she exists
6110222fcfc95661a545c575675034d8	the push of abortion drugs in the third world has the capacity to severely increase abortion mortality and the morbidity rate of women
c0cb4ca1ca769a38d74f0aaa448b5f59	actual number of women dying has increased
2db775bb70d2aadd01a2275fec1835ce	the number of pregnancies which end by birth is continuously increasing, despite the decreasing number of the births
b33faab082f1f9555559c360baa8935c	legal abortion services, in contrast to illegal abortionists, provide counseling about abortion and contraceptive methods to prevent repeated unwanted pregnancies
e5b48384125bda0c08ef17092c9262bc	the pain involved in labor, nor even that my body would go into labor to reject the struggling, dying baby that was being burned alive in my uterus
773641db58c3f361abbf157e73eabfca	it is ALIVE, meaning it is growing, developing, maturing, and replacing its own dying cells
62756454b08badf85e710ccf51ec2d69	Scientists agree that once the sperm has fertilised the egg, a new being with a fully human genetic make-up has been created
b274a00900454c96b5edc94993dc6436	abortion just further harms the already traumatized rape victims
740c9fab305695726f57814161443c89	abortion was and still stays an act of violence against the unborn child as well as the woman about to have a baby, apart from being a moral crime in itself
b694aff8172d7252dc0abe4040ded27d	Just as diseased body parts are surgically removed, the fetus may be aborted at will
5d6d79ca25d3fac292598505ed0c00c8	Abortion destroys the lives of helpless, innocent children and is illegal in many countries
3bbc0d68cbbc68d08fdff58186864ab7	adverse physical, psychological, social and reproductive effects of induced abortion
b273e041d5fc30eadb39c5196cb68605	Abortions are unsafe when performed by persons without the proper skills or outside of a medically safe environment
03c90aa65905d626245eb180ee57104a	it can save a mother's life and prevent prolonged suffering
7b998a21bb4ac395cf8e5adee1b9d53e	abortion damages the women's body, physically and psychologically
81c08097abfa4d0e0941ab66838d41a2	abortion contradicts many religious ethics
ae062b09afe7acd0e8436edb10e3b5d5	Findings demonstrate enormous unmet need for safe abortion services
68aff84d3be6408b2fd552ff3e84c58f	women who have more than one abortion are at a significantly increased risk of suffering physical and psychological sequelae
32a6641f06f3921848a13e22b0bfbcb8	Pro-lifers need to learn to tell the difference between a developing potential human and a living person
c53c530df4ca4a2fc45b931036c3144f	It will permit late-term abortions, allow non-doctors to perform abortions, and will preclude any reasonable restrictions on abortion such as
97f301c98c07ff206f310f983e3721d0	Severe hemorrhaging may occur as a result of chemical abortion with salt poisoning
82a5e6057127e90e0bf2999ee7921e84	low information about abortion laws and consequences of unsafe abortion can result in that women refer to illegal providers
ddd227ff998defcebc9d4d9c6c5593c3	having an abortion makes is nearly impossible to get pregnant in the future
f39ee52bab2303e9de265bcbf43b1da5	"abortion hurts women, that it harms them, that it is unsafe and even ""deadly"
2719f318ce1989de237a234c2afad438	About half of American women have experienced an unintended pregnancy, and at current rates more than one-third will have had an abortion by age 45
25c85e683f5d39dc8dcbe69116c5398e	our continuing responsibility as physicians and as a society is to ensure that these procedures are as safe, comfortable, and compassionate as possible
d1126f6925228ed57448aac6e3c3e570	They are carried out by unqualified persons, usually in unhygienic conditions, and more often than not end in infection or hemorrhage and death of the woman
de4dfca3d12e6d5b275b73145083f00b	Abortion is severely restricted in Iran, and many women with an unwanted pregnancy resort to clandes-tine, unsafe abortions
71ed83cbde595a046c0b235e8aa1073f	an unwanted abortion may be perceived as the ultimate violation in a life characterized by abuse
2a23ed1969927d404140204e7b4254d0	the $75 million a year figure is probably an underestimate of how much taxpayers spend on medically unnecessary abortions
9244278718f7f4e0d60fc77688e8b458	many women died or were injured by botched abortions
57f5456eeaec05ce3862cb50c9b7eaee	In countries where abortion remains unsafe, it is a leading cause of maternal mortality
93fa5b94fa9903c70579a075d397e58d	"Every woman who ever gives birth, whatever her circumstances, is living proof that there is no ""need"" for abortion"
c69b20e3ba362fd371b65bdf5468a2ea	why would any woman prefer to wait nine months to give birth to a baby, that would not only be something she doesn't want, but it would also be more dangerous
9de10c225ece0703f880c661596bc73d	the adoption of unwanted childbearing may be chronic stress for women who continue to worry about fate of the child
96b3b7cd8f555cdda1566375cafe64ef	abortion is increasingly concentrated among poor women means that this population is most affected when legal restrictions around abortion are implemented
849957a07f1664b8621db46fe8c94cdd	women are more exposed to unintended pregnancy
46ea3c0cbda216bbdcd320d0ca246ba9	many of the steps favored by pro-life groups and Republicans have not been effective at reducing the number of abortions
51cbc1db480baf48ea0f53b4a7cc7a3d	it is easy, safe, and cheap
ca0f95e58ce4e70e5866b234add696bb	getting abortions help the economy
0b3de30b1f8a53c0bd1c16d42129fa5a	None of that is good considering both the unborn children killed and the women who risk their health
3915ec427b6225ec8c08cfd31da3e4e0	"What we deter by ""banning abortion"" is safe doctor-performed abortions"
f56211084d4723f4658a29adce8410b9	restrictive laws pushed by Right to Lifers, such as mandatory parental involvement and cutoff of Medicaid for poor women's abortions, cause delay and lead to increased numbers of late abortions
1cff66622a5f76bf74d992170ae6431f	those who can't afford to pay for the service, they will turn to cheaper alternatives
f20f3e4457f6c4327d54bde8541a0153	Abortion advocates wrongly assert that abortion is safer than childbirth
e386fa1ea92534ad4aa5098d12f66ba9	Before the legalization of abortion, boyfriends who impregnated their girlfriends and took them to get abortions could be prosecuted if the abortion caused her death
50c40612643a259f81533322b6322c69	the overuse of these elements can lead to other problems at a mental and physical level
d51ab6e9c2a9f99d5a9c6000d083b785	no human being's rights are superior to another human being
4718079334b15dcb91f1a890d3042a1e	Abortion was supposed to empower women, free them from the rigours of childbearing and the drudgery of housework, and enable them to achieve an equal place with men in the workforce
8618941a886206e961806484d26d9b2a	mental illness can be a medical indicator for abortion
023e26fcd0aa9da766db348b9217eb49	for women for whom giving birth can aggravate mental health problems, an abortion is often necessary to prevent further degradation of their mental health
15b979410299e62038b85ec14d7568e9	This has a detrimental impact not just on the immediate families but also on society as a whole
78492da80af189ee2004d0a548e2048b	legal abortion has increased, rather than prevented, the pain, suffering and exploitation of women
2e17145b19c2a8dd97ccefb7d5f9d2c9	Late abortion can be lifesaving for women with medical disorders aggravated by pregnancy
a8288ed4d147cfb69514c36717922aab	The practice of abortions had been found to be very risky
ef4ccbb56da2d0e43c32a1f651233eb9	deaths and disability from unsafe abortion can be reduced through the timely provision of emergency treatment of complications
29d5590244867c5f15665c9a23908988	having an abortion terminates the life of separate and unique human being
70b340932498c522d42b39ad0f107c35	"abortion ""ends the life of a separate, unique, living human being"
0eecfeeeb657e4e3019a31b0a44fb334	It is insulting to women to suggest that the only way they can cope with their problems is to kill their own children
fb4abbaa9b2a96b8090765faa2daa99e	If either parent wants that child and it is safe for the pregnancy to continue, then the parent who wants the child should has right to raise it
7dba8d9da865d307c2044507ef5eaad1	pregnant women will resort to unsafe illegal abortions if there is no legal option
70eb7f7278bc7f12c2193f47a3a5e076	Larger fetuses must also have their skulls crushed so the pieces can pass through the cervix
bb13fc808e2cc0fd0af9940218ec7bcd	Due to unwanted pregnancies and financial distress, many children are often mistreated and neglected which leads to the idea of abortion as the right decision
0fc43eb3731fd65d37155673dc6d21a7	some healthy women with health fetuses, would get an elective, abortion
2759f5acea0515ebe5997e4287047521	it helps to regulate population levels, keep unwanted children from being born, neglected, beaten
f98730a4f4dd2035ef4df25cdaea88ea	the existence of this moral dilemma in no way lessens the case against abortion itself
9f87777ce68b26761a3f33562dd6abf1	Many unwanted babies are abused, neglected and/or battered or even killed by unloving or immature parents
c539e316ada74632cbb8f2f9a215f1c5	a woman facing cancer who needs to terminate a pregnancy in order to live might have to go into debt over the $10,000 that the legal and necessary procedure could cost
979b0f04aa810c9f979bf55a2cfb3307	the legalization of abortion never played a significant role (and never will) in affecting the numbers of women who died from legal or illegal abortion-related deaths
2eab51cf2fcfc0ec7f49a6e9dd863f02	the fetus is a potential person
dd912b752de35fe25b150218045f757e	pro-lifers are consigning women to die of cancer
63381d3daabcd95e26ef3b764e68ca30	The most common reasons for wanting abortions include interference with work or school, lack of finances, single parenthood, and health reasons, including fear of a possible defect in the fetus
74b3ed41e369ac4e44ff4953d8af7743	only marginal or practically null effects would be expected from abortion legalization
50fb46f5640fe940edbd164b857caa8b	abortions should only be undertaken when the women is either seriously ill or when their babies have no hope of survival
77cf0943950a3bf1134186f323e42985	Our main goal is that of preventing unintended pregnancies and unwanted births every day to enable more women to have children by choice, not chance
f6de577fc9b7c42a23f0301373e490ba	operators need to recognize the harmful effects of social ostracism felt by the abortion
9de5d0e864fd29e5a8380e89dddf30dc	closing abortion clinics decreases abortions and saves lives
aa2fd7e41fa1727fddf6958d9810838d	Consequences of unsafe abortion are from acute com- plications like infection, hemorrhage, shock, and laceration, to long-term health consequences like adhesions, infection, infertility, anxiety, and depression
4e765fa6ccf887e9d311a62b0f78f856	the plan to select abortion clinics for unique therapy is that abortion is fundamentally harmful
1bf84a85a23391d397b788b0e9710252	Abortion is as American as Apple Pie
4b13da659e47d21d9b437a8dfe0e1c14	In developing countries, around 80% of women who have unplanned pregnancies have limited or no access to contraception
b6f9bca21c04e536d6174e56d69cab93	Medical abortion is safe and effective
fd21d8b939e9313542e63ca6989c9f44	abortion greatly increased the incidence of miscarriage in future pregnancies
71a7d948e2c1bf610c25bb6399517426	This dangerous and extreme change clearly puts women's health at risk, and mirrors a national abortion strategy to permit non-doctors to perform abortions due to the declining number of physicians willing to do so
4069cae86f1a78f285a3b6fbf4a8b283	Progression in medical technology have given women a safer, cheaper and simpler alternative namely, medical abortion
73be74d6632b4dfbc29e4008a86fb352	unsafe abortion occurs more often in less-developed nations
dc70ec9e9e84dcca98de8ef51f455a75	votes lead to saved lives - both of preborn children and their mothers
b523a80abcbb0e4012480efc102bd006	Prohibiting Federally-Funded Abortions and Providing for Conscience Protections Prohibits federal funds from being used for any health benefits coverage that includes coverage of abortion
04dd70177eaf36888271922743de4ab5	Fewer women can afford to seek abortion care in Western countries
